"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1901993788048019865","Tue Mar 18 13:47:11 +0000 2025","17854","Rakyat minta #AdiliJokowi malah teriak hidup jokowi Rakyat minta aset koruptor disita malah mau sita kendaraan rakyat yg telat bayar pajak 10 tahun Mau tambah berapa lama lagi? Rakyat mau tambah penderitaan?? Jadi ingat PERUBAHAN ️ 🇮🇩 https://t.co/9GbQM6aFI7","1901993788048019865","https://pbs.twimg.com/ext_tw_video_thumb/1901993755017924608/pu/img/Y2xQlQmJmLXhPpHl.jpg","","in","","93","138","4061","https://x.com/Boediantar4/status/1901993788048019865","1383750727575605257","Boediantar4"
"1902173440867758569","Wed Mar 19 01:41:03 +0000 2025","260","PENGKHIANAT NEGARA PENJUAL INDONESIA !! BASMI SEGERA !! AYO REVOLUSI !! GANTUNG JOKOWI !!! #JokowiRajaCinaSerbaPalsu #TolakRUUTNI #KobarkanApiREVOLUSI #AdiliJokowiHargaMati https://t.co/dG05vWUgXX","1902173440867758569","https://pbs.twimg.com/media/GmXgqGVa8AEZAPj.jpg","","in","GAZA,PALESTINE🇵🇸","6","15","156","https://x.com/OjolNyambi/status/1902173440867758569","1488415825958944771","OjolNyambi"
"1902612799110705568","Thu Mar 20 06:46:54 +0000 2025","6935","Sisil Ex Member JKT48 Angel Ex Member JKT48 https://t.co/Xf88kIx92Z","1902612799110705568","https://pbs.twimg.com/media/GmdwPv8asAAuLhb.jpg","","in","Gita 🧎‍♀️","202","105","1263","https://x.com/purppleheather/status/1902612799110705568","1260810206738407426","purppleheather"
"1901601231484997790","Mon Mar 17 11:47:18 +0000 2025","3916","Jika Banten Bergerak Nusantara Bergejolak... Tangkap Aguan Tangkap Jokowi https://t.co/sSCV0fEeVT","1901601231484997790","https://pbs.twimg.com/ext_tw_video_thumb/1901601138438553600/pu/img/p3k3VVOz-MNIiQrF.jpg","","in","","24","92","1647","https://x.com/Bang_Ramzan/status/1901601231484997790","1433433068283392007","Bang_Ramzan"
"1902166431787053194","Wed Mar 19 01:13:12 +0000 2025","178","Tolak RUU TNI SDM TNI tidak untuk diskusi dan berfikir tapi emosi arogansi dan senjata Sehingga tidak cocok Tentara masuk ruang sipil yg terjadi pelanggaran HAM #TolakRUUTNI #TolakRevisiUUTNI ala prabowo dan jokowi Ya allah selamattt kan indo Innalillahi kebijakan https://t.co/txzEn4TwuV","1902166431787053194","https://pbs.twimg.com/amplify_video_thumb/1902166363281485825/img/ZdED09TcK-orZ5nm.jpg","","in","Kota Madiun, Jawa Timur","3","15","87","https://x.com/ilhampid/status/1902166431787053194","1447198634726998016","ilhampid"
"1902503669075210345","Wed Mar 19 23:33:16 +0000 2025","611","Ini tampang betina yg menghina Pak Jokowi &amp; Pak Prabowo https://t.co/zUUShwjSWK","1902503669075210345","https://pbs.twimg.com/media/GmcNATaa8AAe1P0.jpg","","in","","60","233","94","https://x.com/tham878/status/1902503669075210345","1759100655783043072","tham878"
"1901461438352552364","Mon Mar 17 02:31:49 +0000 2025","137","Cukup 5 tahun bagi Jokowi untuk merusak cara berfikir seorang Prabowo. https://t.co/wYPdYgdI1c","1901461438352552364","https://pbs.twimg.com/ext_tw_video_thumb/1901461267573026816/pu/img/2mLJ5pXuOYoChMCN.jpg","","in","","2","7","53","https://x.com/regar_op0sisi/status/1901461438352552364","1749698965539553280","regar_op0sisi"
"1901141052159086612","Sun Mar 16 05:18:42 +0000 2025","38898","lo pemilih 02 yg punya akses informasi memadai dan privilege yang kemaren milih prabowo krn gemoy dan kasian yg kemaren milih prabowo krn jokowi. May you guys rot in hell. Lo pada turut andil dalam rusakin masa depan puluhan ribu orang keluarga anak dan generasi bangsa","1901141052159086612","","","in","she/her","457","110","14108","https://x.com/txtfromsassa/status/1901141052159086612","1348879089310973952","txtfromsassa"
"1902597998506393741","Thu Mar 20 05:48:06 +0000 2025","534","Dah dibilang PDIP dan Jokowi itu 11 12 https://t.co/F9i55ISWvT","1902597998506393741","https://pbs.twimg.com/ext_tw_video_thumb/1902572875124744192/pu/img/YuzM_SNG0XrmsbDf.jpg","","in","","12","83","183","https://x.com/Tan_Mar3M/status/1902597998506393741","1270980383761330176","Tan_Mar3M"
"1901965349836235041","Tue Mar 18 11:54:10 +0000 2025","2821","Oh ada UU nya ternyata...Dengan dihukum matinya jokowi semua hutang negara yg diluar pengetahuan / tdk seijin DPR akan bebas / tdk wajib dibayar oleh negara alias jadi utang pribadi jokowi... https://t.co/9d4iPrH0zx","1901965349836235041","https://pbs.twimg.com/amplify_video_thumb/1901965022198427648/img/chR4eV0CTgaPt6CM.jpg","","in","","45","136","1286","https://x.com/Boediantar4/status/1901965349836235041","1383750727575605257","Boediantar4"
